github.com/AlDanial/cloc v 2.08  T=8.16 s (281.7 files/s, 99308.4 lines/s)
------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                         blank        comment           code
------------------------------------------------------------------------------------------------------------------------------------------------
.\web\package-lock.json                                                                                          0              0           9145
.\backend\.deps\idna\uts46data.py                                                                              174              3           8664
.\backend\.deps\sqlalchemy\sql\compiler.py                                                                    1297           1081           5705
.\backend\.deps\idna\idnadata.py                                                                                 2              1           4306
.\backend\.deps\sqlalchemy\sql\selectable.py                                                                  1586           2299           3380
.\backend\.deps\sqlalchemy\sql\elements.py                                                                    1161           1155           3273
.\backend\.deps\sqlalchemy\testing\suite\test_reflection.py                                                    387             80           3090
.\backend\.deps\sqlalchemy\dialects\postgresql\base.py                                                         868           1441           3069
.\backend\.deps\redis\commands\core.py                                                                        1061           2303           2941
.\scripts\seed_data.sql                                                                                       2902              0           2902
.\backend\.deps\sqlalchemy\sql\schema.py                                                                      1194           2133           2898
.\backend\.deps\sqlalchemy\orm\strategies.py                                                                   475            436           2571
.\.ralph\fix_plan.md                                                                                           902              0           2539
.\backend\.deps\sqlalchemy\orm\session.py                                                                     1049           1724           2507
.\backend\.deps\sqlalchemy\orm\mapper.py                                                                       750           1205           2489
.\backend\.deps\sqlalchemy\orm\relationships.py                                                                519            514           2475
.\backend\.deps\typing_extensions.py                                                                           734           1111           2472
.\backend\.deps\sqlalchemy\orm\context.py                                                                      527            398           2409
.\backend\.deps\anyio\_backends\_asyncio.py                                                                    508            137           2351
.\backend\.deps\sqlalchemy\dialects\oracle\base.py                                                             588            898           2320
.\backend\.deps\sqlalchemy\dialects\mysql\base.py                                                              649            998           2302
.\backend\.deps\sqlalchemy\dialects\mssql\base.py                                                              721           1138           2255
.\backend\.deps\wcwidth\table_grapheme.py                                                                       20             61           2213
.\package-lock.json                                                                                              0              0           2038
.\backend\.deps\charset_normalizer\constant.py                                                                  29             16           2005
.\backend\.deps\sqlalchemy\orm\attributes.py                                                                   494            418           1933
.\web\src\pages\api-test\ApiTestWorkspace.tsx                                                                  182             72           1858
.\backend\.deps\sqlalchemy\sql\sqltypes.py                                                                     957           1171           1802
.\chinese_text_report.txt                                                                                        0              0           1776
.\backend\.deps\sqlalchemy\engine\base.py                                                                      661            995           1734
.\backend\.deps\sqlalchemy\engine\default.py                                                                   395            273           1726
.\backend\.deps\click\core.py                                                                                  611           1113           1713
.\backend\.deps\sqlalchemy\testing\suite\test_select.py                                                        293             36           1681
.\backend\.deps\prompt_toolkit\layout\containers.py                                                            426            667           1673
.\backend\.deps\sqlalchemy\testing\suite\test_types.py                                                         383            100           1664
.\backend\.deps\sqlalchemy\orm\bulk_persistence.py                                                             293            186           1656
.\web\src\pages\web-test\WebTestScripts.tsx                                                                     68             23           1617
.\backend\.deps\alembic\operations\ops.py                                                                      453            859           1606
.\backend\.deps\sqlalchemy\orm\decl_base.py                                                                    315            275           1602
.\.ralph\logs\metrics.jsonl                                                                                      0              0           1592
.\web\src\styles\index.css                                                                                     213             42           1576
.\backend\.deps\billiard\pool.py                                                                               311            175           1567
.\backend\.deps\redis\cluster.py                                                                               259            672           1555
.\backend\.deps\sqlalchemy\orm\util.py                                                                         416            438           1549
.\backend\.deps\sqlalchemy\dialects\sqlite\base.py                                                             539            972           1545
.\backend\.deps\jinja2\compiler.py                                                                             301            252           1445
.\backend\.deps\httpx\_client.py                                                                               235            344           1427
.\backend\.deps\sqlalchemy\orm\strategy_options.py                                                             542            617           1427
.\backend\.deps\sqlalchemy\orm\query.py                                                                        773           1294           1399
.\chinese_to_translate.txt                                                                                       0              0           1393
.\backend\.deps\sqlalchemy\orm\persistence.py                                                                  237            183           1368
.\backend\.deps\prompt_toolkit\key_binding\digraphs.py                                                           4             12           1362
.\backend\.deps\sqlalchemy\engine\cursor.py                                                                    403            561           1339
.\backend\.deps\sqlalchemy\util\langhelpers.py                                                                 493            379           1331
.\backend\.deps\prompt_toolkit\key_binding\bindings\vi.py                                                      333            596           1304
.\backend\.deps\sqlalchemy\ext\associationproxy.py                                                             414            310           1303
.\backend\.deps\sqlalchemy\sql\crud.py                                                                         208            254           1290
.\backend\.deps\_pytest\python.py                                                                              236            330           1277
.\backend\.deps\sqlalchemy\sql\base.py                                                                         498            534           1261
.\backend\.deps\pytz\__init__.py                                                                               122            189           1255
.\web\src\i18n\locales\en.json                                                                                   0              0           1245
.\web\src\i18n\locales\zh.json                                                                                   0              0           1245
.\backend\.deps\_pytest\config\__init__.py                                                                     259            321           1236
.\backend\.deps\alembic\script\revision.py                                                                     252            265           1211
.\backend\.deps\_pytest\terminal.py                                                                            189             87           1205
.\backend\.deps\dateutil\rrule.py                                                                              210            324           1203
.\backend\.deps\sqlalchemy\orm\loading.py                                                                      250            242           1194
.\backend\.deps\sqlalchemy\engine\result.py                                                                    612            654           1156
.\backend\.deps\_pytest\fixtures.py                                                                            218            344           1151
.\backend\.deps\celery\canvas.py                                                                               363            888           1143
.\backend\.deps\sqlalchemy\engine\reflection.py                                                                369            594           1139
.\backend\.deps\sqlalchemy\sql\coercions.py                                                                    258             59           1087
.\backend\.deps\prompt_toolkit\shortcuts\prompt.py                                                             146            309           1083
.\backend\.deps\prompt_toolkit\buffer.py                                                                       359            595           1075
.\backend\.deps\_pytest\pytester.py                                                                            305            414           1070
.\backend\.deps\sqlalchemy\orm\dependency.py                                                                   141             98           1063
.\backend\.deps\anyio\_backends\_trio.py                                                                       254             29           1060
.\chinese_remaining.txt                                                                                          0              0           1049
.\backend\.deps\redis\asyncio\cluster.py                                                                       206            373           1041
